"year","week","temperature7d"
2016,2,0.914285714285708
2016,3,-2.27142857142858
2016,4,2.11428571428571
2016,5,-0.971428571428578
2016,6,8.65714285714285
2016,7,7.37142857142857
2016,8,6.69999999999999
2016,9,4.37142857142857
2016,10,4.94285714285714
2016,11,5.85714285714285
2016,12,5.48571428571428
2016,13,6.91428571428571
2016,14,8.62857142857142
2016,15,12.4714285714286
2016,16,13.7142857142857
2016,17,11.9142857142857
2016,18,10.8714285714286
2016,19,11.2428571428571
2016,20,19.2571428571428
2016,21,19.6142857142857
2016,22,19.1857142857143
2016,23,19.6
2016,24,24.0857142857143
2016,25,22.4
2016,26,18.5857142857143
2016,27,26.3428571428571
2016,28,21.7571428571428
2016,29,21.9
2016,30,20.3142857142857
2016,31,24.1571428571429
2016,32,24.3428571428571
2016,33,19.4714285714286
2016,34,19.9428571428571
2016,35,20.1857142857143
2016,36,26.9285714285714
2016,37,22.5142857142857
2016,38,24.8285714285714
2016,39,25.5571428571428
2016,40,19.3142857142857
2016,41,19.4142857142857
2016,42,12.0857142857143
2016,43,9.25714285714285
2016,44,9.19999999999999
2016,45,10.0714285714286
2016,46,8.25714285714285
2016,47,3.92857142857142
2016,48,6.69999999999999
2016,49,7.18571428571428
2016,50,2.98571428571428
2016,51,5.57142857142856
2016,52,3.02857142857142
2017,1,3.32857142857142
2017,2,5.21428571428571
2017,3,-0.557142857142863
2017,4,0.485714285714279
2017,5,-0.414285714285721
2017,6,0.928571428571422
2017,7,1.04285714285714
2017,8,-2.05714285714286
2017,9,5.45714285714285
2017,10,6.97142857142857
2017,11,9.91428571428571
2017,12,7.08571428571428
2017,13,9.11428571428571
2017,14,10.8571428571429
2017,15,17.2714285714286
2017,16,12.0142857142857
2017,17,11.2142857142857
2017,18,8.15714285714285
2017,19,10.9857142857143
2017,20,13.0285714285714
2017,21,15.1857142857143
2017,22,21.8285714285714
2017,23,21.5428571428571
2017,24,20.9142857142857
2017,25,22
2017,26,21.1857142857143
2017,27,24.1428571428571
2017,28,19.6714285714286
2017,29,20.6857142857143
2017,30,19.8285714285714
2017,31,24.3285714285714
2017,32,21.7285714285714
2017,33,23.7
2017,34,21.4142857142857
2017,35,22.2285714285714
2017,36,19.9428571428571
2017,37,21.7142857142857
2017,38,17.8285714285714
2017,39,16.2571428571428
2017,40,15.7
2017,41,17.3142857142857
2017,42,12.7428571428571
2017,43,15.4571428571429
2017,44,16.3857142857143
2017,45,11.5571428571428
2017,46,10.1428571428571
2017,47,7.29999999999999
2017,48,6.74285714285714
2017,49,7.68571428571428
2017,50,4.01428571428571
2017,51,4.31428571428571
2017,52,2.71428571428571
